
J|lemma idGJ00001.GJ00001 |
JA|lemma idGJ00002.GJ00002 | part.|gram idGJ00002.GJ00002 |
JAAFFE|lemma idGJ00003.GJ00003 | m.|gram idGJ00003.GJ00003 |
JABRUDER|lemma idGJ00004.GJ00004 |
JACH|lemma idGJ00005.GJ00005 | adj. und adv.|gram idGJ00005.GJ00005 |
JACH|lemma idGJ00006.GJ00006 | f.|gram idGJ00006.GJ00006 |
JACH|lemma idGJ00007.GJ00007 | conj.|gram idGJ00007.GJ00007 |
JÄCH|lemma idGJ00008.GJ00008 |
JÄCH|lemma idGJ00009.GJ00009 |JÄCHE|variant idGJ00009.GJ00009 | interj.|gram idGJ00009.GJ00009 |
JÄCHEN|lemma idGJ00010.GJ00010 | verb.|gram idGJ00010.GJ00010 |
JÄCHER|lemma idGJ00011.GJ00011 | m.|gram idGJ00011.GJ00011 |
JACHERN|lemma idGJ00012.GJ00012 | verb.|gram idGJ00012.GJ00012 |
JACHGETAUFT|lemma idGJ00013.GJ00013 | part.|gram idGJ00013.GJ00013 |
JACHLICH|lemma idGJ00014.GJ00014 | adv.|gram idGJ00014.GJ00014 |
JÄCHSEIL|lemma idGJ00015.GJ00015 | n.|gram idGJ00015.GJ00015 |
JACHT|lemma idGJ00016.GJ00016 | f.|gram idGJ00016.GJ00016 |
JACHTAUFE|lemma idGJ00017.GJ00017 |
JACHTERN|lemma idGJ00018.GJ00018 | verb.|gram idGJ00018.GJ00018 |
JACHTSCHIFF|lemma idGJ00019.GJ00019 | n.|gram idGJ00019.GJ00019 |
JACHZEN|lemma idGJ00020.GJ00020 | verb.|gram idGJ00020.GJ00020 |
JACHZORN|lemma idGJ00021.GJ00021 |
JACHZORNIG|lemma idGJ00022.GJ00022 | adj. und adv.|gram idGJ00022.GJ00022 |
JACINTHE|lemma idGJ00023.GJ00023 | f.|gram idGJ00023.GJ00023 |
JÄCK|lemma idGJ00024.GJ00024 | m.|gram idGJ00024.GJ00024 |
JÄCK|lemma idGJ00025.GJ00025 | m.|gram idGJ00025.GJ00025 |
JÄCKCHEN|lemma idGJ00026.GJ00026 | n.|gram idGJ00026.GJ00026 |
JACKE|lemma idGJ00027.GJ00027 | f.|gram idGJ00027.GJ00027 |
JACKE|lemma idGJ00028.GJ00028 | f.|gram idGJ00028.GJ00028 |
JÄCKEL|lemma idGJ00029.GJ00029 |JÄKEL|variant idGJ00029.GJ00029 |
JÄCKLEIN|lemma idGJ00030.GJ00030 | n.|gram idGJ00030.GJ00030 |
JÄCKLEIN|lemma idGJ00031.GJ00031 |
JACOB|lemma idGJ00032.GJ00032 |
JACOBINERTAUBE|lemma idGJ00033.GJ00033 | f.|gram idGJ00033.GJ00033 |
JACOBSAPFEL|lemma idGJ00034.GJ00034 | m.|gram idGJ00034.GJ00034 |
JACOBSBIRNE|lemma idGJ00035.GJ00035 | f.|gram idGJ00035.GJ00035 |
JACOBSBLUME|lemma idGJ00036.GJ00036 | f.|gram idGJ00036.GJ00036 |
JACOBSBRUDER|lemma idGJ00037.GJ00037 | m.|gram idGJ00037.GJ00037 |
JACOBSEULE|lemma idGJ00038.GJ00038 | f.|gram idGJ00038.GJ00038 |
JACOBSFISCH|lemma idGJ00039.GJ00039 | m.|gram idGJ00039.GJ00039 |
JACOBSHOLZ|lemma idGJ00040.GJ00040 | n.|gram idGJ00040.GJ00040 |
JACOBSKLEE|lemma idGJ00041.GJ00041 | m.|gram idGJ00041.GJ00041 |
JACOBSKRAUT|lemma idGJ00042.GJ00042 | n.|gram idGJ00042.GJ00042 |
JACOBSLAUCH|lemma idGJ00043.GJ00043 | m.|gram idGJ00043.GJ00043 |
JACOBSLEITER|lemma idGJ00044.GJ00044 | f.|gram idGJ00044.GJ00044 |
JACOBSLILIE|lemma idGJ00045.GJ00045 | f.|gram idGJ00045.GJ00045 |
JACOBSMANTEL|lemma idGJ00046.GJ00046 | m.|gram idGJ00046.GJ00046 |
JACOBSMOTTE|lemma idGJ00047.GJ00047 | f.|gram idGJ00047.GJ00047 |
JACOBSMUSCHEL|lemma idGJ00048.GJ00048 |
JACOBSNARZISSE|lemma idGJ00049.GJ00049 | f.|gram idGJ00049.GJ00049 |
JACOBSRITTER|lemma idGJ00050.GJ00050 | m.|gram idGJ00050.GJ00050 |
JACOBSSTAB|lemma idGJ00051.GJ00051 | m.|gram idGJ00051.GJ00051 |
JACOBSSTECKEN|lemma idGJ00052.GJ00052 | m.|gram idGJ00052.GJ00052 |
JACOBSSTERN|lemma idGJ00053.GJ00053 | m.|gram idGJ00053.GJ00053 |
JACOBSSTRASZE|lemma idGJ00054.GJ00054 | f.|gram idGJ00054.GJ00054 |
JACOBSTAG|lemma idGJ00055.GJ00055 | m.|gram idGJ00055.GJ00055 |
JACOBSTRAUBE|lemma idGJ00056.GJ00056 | f.|gram idGJ00056.GJ00056 |
JACOBSWEGWEISER|lemma idGJ00057.GJ00057 | m.|gram idGJ00057.GJ00057 |
JACOBSWIESE|lemma idGJ00058.GJ00058 | f.|gram idGJ00058.GJ00058 |
JACOBSWIRT|lemma idGJ00059.GJ00059 | m.|gram idGJ00059.GJ00059 |
JACOBSZWIBEL|lemma idGJ00060.GJ00060 | f.|gram idGJ00060.GJ00060 |
JAGBAR|lemma idGJ00061.GJ00061 | adj.|gram idGJ00061.GJ00061 |
JAGD|lemma idGJ00062.GJ00062 | f.|gram idGJ00062.GJ00062 |
JAGD|lemma idGJ00063.GJ00063 | f.|gram idGJ00063.GJ00063 |
JAGD-|lemma idGJ00064.GJ00064 |
JAGDALBUM|lemma idGJ00065.GJ00065 | n.|gram idGJ00065.GJ00065 |
JAGDAMT|lemma idGJ00066.GJ00066 | n.|gram idGJ00066.GJ00066 |
JAGDANZUG|lemma idGJ00067.GJ00067 | m.|gram idGJ00067.GJ00067 |
JAGDAPFEL|lemma idGJ00068.GJ00068 | m.|gram idGJ00068.GJ00068 |
