
U|lemma idGU00001.GU00001 |
UAH|lemma idGU00002.GU00002 | interj.|gram idGU00002.GU00002 |
UB|lemma idGU00003.GU00003 |
ÜBE|lemma idGU00004.GU00004 | f.|gram idGU00004.GU00004 |
ÜBEDE|lemma idGU00005.GU00005 | f.|gram idGU00005.GU00005 |
ÜBEKAMPF|lemma idGU00006.GU00006 | m.|gram idGU00006.GU00006 |
ÜBEL|lemma idGU00007.GU00007 | adj. u. adv.|gram idGU00007.GU00007 |
ÜBEL|lemma idGU00008.GU00008 | n.|gram idGU00008.GU00008 |
ÜBELAN|lemma idGU00009.GU00009 | adv.|gram idGU00009.GU00009 |
ÜBELANGEBRACHT|lemma idGU00010.GU00010 | adj.|gram idGU00010.GU00010 |
ÜBELANGST|lemma idGU00011.GU00011 | adj.|gram idGU00011.GU00011 |
ÜBELANSTÄNDIG|lemma idGU00012.GU00012 | adj. u. adv.|gram idGU00012.GU00012 |
ÜBELANSTÄNDIGKEIT|lemma idGU00013.GU00013 | f.|gram idGU00013.GU00013 |
ÜBELAUF|lemma idGU00014.GU00014 | adv.|gram idGU00014.GU00014 |
ÜBELAUFGERÄUMT|lemma idGU00015.GU00015 | adj.|gram idGU00015.GU00015 |
ÜBELAUFNEHMUNG|lemma idGU00016.GU00016 | f.|gram idGU00016.GU00016 |
ÜBELAUFSEHER|lemma idGU00017.GU00017 | m.|gram idGU00017.GU00017 |
ÜBELBEDEUTEND|lemma idGU00018.GU00018 | adj.|gram idGU00018.GU00018 |
ÜBELBEFINDEN|lemma idGU00019.GU00019 | n.|gram idGU00019.GU00019 |
ÜBELBEGNÜGT|lemma idGU00020.GU00020 | adj.|gram idGU00020.GU00020 |
ÜBELBEHAGEN|lemma idGU00021.GU00021 | n.|gram idGU00021.GU00021 |
ÜBELBELEUMUNDET|lemma idGU00022.GU00022 | adj.|gram idGU00022.GU00022 |
ÜBELBELOHNT|lemma idGU00023.GU00023 | adj.|gram idGU00023.GU00023 |
ÜBELBERATEN|lemma idGU00024.GU00024 | adj.|gram idGU00024.GU00024 |
ÜBELBEREDT|lemma idGU00025.GU00025 | adj.|gram idGU00025.GU00025 |
ÜBELBERITTEN|lemma idGU00026.GU00026 | adj.|gram idGU00026.GU00026 |
ÜBELBERÜCHTIGT|lemma idGU00027.GU00027 | adj.|gram idGU00027.GU00027 |
ÜBELBERUFEN|lemma idGU00028.GU00028 | adj.|gram idGU00028.GU00028 |
ÜBELBEZEIGLICH|lemma idGU00029.GU00029 | adj.|gram idGU00029.GU00029 |
ÜBELDÄUEN|lemma idGU00030.GU00030 | v.|gram idGU00030.GU00030 |
ÜBELDÄUIG|lemma idGU00031.GU00031 | adj.|gram idGU00031.GU00031 |
ÜBELDÄUUNG|lemma idGU00032.GU00032 | f.|gram idGU00032.GU00032 |
ÜBELDENKEND|lemma idGU00033.GU00033 | adj.|gram idGU00033.GU00033 |
ÜBELDEUTEN|lemma idGU00034.GU00034 | v.|gram idGU00034.GU00034 |
ÜBELDEUTUNG|lemma idGU00035.GU00035 | f.|gram idGU00035.GU00035 |
ÜBELDUFT|lemma idGU00036.GU00036 | m.|gram idGU00036.GU00036 |
ÜBELDUFTIG|lemma idGU00037.GU00037 | adj.|gram idGU00037.GU00037 |
ÜBELFAHRT|lemma idGU00038.GU00038 | f.|gram idGU00038.GU00038 |
ÜBELFARB|lemma idGU00039.GU00039 | adj.|gram idGU00039.GU00039 |
ÜBELFEIL|lemma idGU00040.GU00040 | adj.|gram idGU00040.GU00040 |
ÜBELFERTIG|lemma idGU00041.GU00041 | adj.|gram idGU00041.GU00041 |
ÜBELFREISE|lemma idGU00042.GU00042 | f.|gram idGU00042.GU00042 |
ÜBELGÄBIG|lemma idGU00043.GU00043 | adj.|gram idGU00043.GU00043 |
ÜBELGANG|lemma idGU00044.GU00044 | m.|gram idGU00044.GU00044 |
ÜBELGEBÄRDER|lemma idGU00045.GU00045 | m.|gram idGU00045.GU00045 |
ÜBELGEBILDET|lemma idGU00046.GU00046 | adj.|gram idGU00046.GU00046 |
ÜBELGEDEIHLICH|lemma idGU00047.GU00047 | adj. u. adv.|gram idGU00047.GU00047 |
ÜBELGEFORMT|lemma idGU00048.GU00048 | adj.|gram idGU00048.GU00048 |
ÜBELGEHÄBUNG|lemma idGU00049.GU00049 | f.|gram idGU00049.GU00049 |
ÜBELGELAUNT|lemma idGU00050.GU00050 | adj. u. adv.|gram idGU00050.GU00050 |
ÜBELGELINGLICH|lemma idGU00051.GU00051 | adj. u. adv.|gram idGU00051.GU00051 |
ÜBELGELINGUNG|lemma idGU00052.GU00052 | f.|gram idGU00052.GU00052 |
ÜBELGEMEINT|lemma idGU00053.GU00053 | adj.|gram idGU00053.GU00053 |
ÜBELGEPLAGT|lemma idGU00054.GU00054 | adj.|gram idGU00054.GU00054 |
ÜBELGERATEN|lemma idGU00055.GU00055 | adj.|gram idGU00055.GU00055 |
ÜBELGERUCH|lemma idGU00056.GU00056 | m.|gram idGU00056.GU00056 |
ÜBELGESCHAFFEN|lemma idGU00057.GU00057 | adj.|gram idGU00057.GU00057 |
ÜBELGESCHAFFT|lemma idGU00058.GU00058 | adj.|gram idGU00058.GU00058 |
ÜBELGESCHMACK|lemma idGU00059.GU00059 | m.|gram idGU00059.GU00059 |
ÜBELGESCHMACK|lemma idGU00060.GU00060 | adj. u. adv.|gram idGU00060.GU00060 |
ÜBELGESCHNITTEN|lemma idGU00061.GU00061 | adj.|gram idGU00061.GU00061 |
ÜBELGESINNT|lemma idGU00062.GU00062 | adj.|gram idGU00062.GU00062 |
ÜBELGESINNTHEIT|lemma idGU00063.GU00063 | f.|gram idGU00063.GU00063 |
ÜBELGESONNENHEIT|lemma idGU00064.GU00064 | f.|gram idGU00064.GU00064 |
ÜBELGESPROCHEN|lemma idGU00065.GU00065 | adj.|gram idGU00065.GU00065 |
ÜBELGESTALTET|lemma idGU00066.GU00066 | adj.|gram idGU00066.GU00066 |
ÜBELGESTALTHEIT|lemma idGU00067.GU00067 | f.|gram idGU00067.GU00067 |
ÜBELGESTIMMT|lemma idGU00068.GU00068 | adj.|gram idGU00068.GU00068 |
ÜBELGETHAT|lemma idGU00069.GU00069 | f.|gram idGU00069.GU00069 |
ÜBELGETHUE|lemma idGU00070.GU00070 | n.|gram idGU00070.GU00070 |
ÜBELGEWACHSEN|lemma idGU00071.GU00071 | adj.|gram idGU00071.GU00071 |
ÜBELGEZOGEN|lemma idGU00072.GU00072 | adj.|gram idGU00072.GU00072 |
ÜBELGLAUBE|lemma idGU00073.GU00073 | f.|gram idGU00073.GU00073 |
ÜBELGÖNNEN|lemma idGU00074.GU00074 | v. u. subst. n.|gram idGU00074.GU00074 |
ÜBELGÖNNER|lemma idGU00075.GU00075 | m.|gram idGU00075.GU00075 |
ÜBELHAFTIG|lemma idGU00076.GU00076 | adj.|gram idGU00076.GU00076 |
ÜBELHAFTIGKEIT|lemma idGU00077.GU00077 | f.|gram idGU00077.GU00077 |
ÜBELHALTUNG|lemma idGU00078.GU00078 | f.|gram idGU00078.GU00078 |
ÜBELHANDLUNG|lemma idGU00079.GU00079 | f.|gram idGU00079.GU00079 |
ÜBELHAUSER|lemma idGU00080.GU00080 | m.|gram idGU00080.GU00080 |
ÜBELHEIT|lemma idGU00081.GU00081 | f.|gram idGU00081.GU00081 |
ÜBELHÖREND|lemma idGU00082.GU00082 | adj. und adv.|gram idGU00082.GU00082 |
ÜBELHÖRIG|lemma idGU00083.GU00083 | adj.|gram idGU00083.GU00083 |
ÜBELKEIT|lemma idGU00084.GU00084 | f.|gram idGU00084.GU00084 |
ÜBELKIND|lemma idGU00085.GU00085 | n.|gram idGU00085.GU00085 |
ÜBELKLANG|lemma idGU00086.GU00086 | m.|gram idGU00086.GU00086 |
ÜBELKLINGEND|lemma idGU00087.GU00087 | adj.|gram idGU00087.GU00087 |
ÜBELKLUG|lemma idGU00088.GU00088 | adj.|gram idGU00088.GU00088 |
ÜBELKÖNNEND|lemma idGU00089.GU00089 | adj.|gram idGU00089.GU00089 |
ÜBELKUNDIG|lemma idGU00090.GU00090 | adj.|gram idGU00090.GU00090 |
ÜBELLAUF|lemma idGU00091.GU00091 | m.|gram idGU00091.GU00091 |
ÜBELLAUNE|lemma idGU00092.GU00092 | f.|gram idGU00092.GU00092 |
ÜBELLAUNEN|lemma idGU00093.GU00093 | v.|gram idGU00093.GU00093 |
ÜBELLAUNICHT|lemma idGU00094.GU00094 |
ÜBELLAUNIG|lemma idGU00095.GU00095 | adj. u. adv.|gram idGU00095.GU00095 |
ÜBELLAUNISCH|lemma idGU00096.GU00096 | adj.|gram idGU00096.GU00096 |
ÜBELLAUT|lemma idGU00097.GU00097 | m.|gram idGU00097.GU00097 |
ÜBELLAUTEN|lemma idGU00098.GU00098 | v.|gram idGU00098.GU00098 |
ÜBELLAUTER|lemma idGU00099.GU00099 | m.|gram idGU00099.GU00099 |
ÜBELLAUTUNG|lemma idGU00100.GU00100 | f.|gram idGU00100.GU00100 |
ÜBELLEB|lemma idGU00101.GU00101 | m.|gram idGU00101.GU00101 |
ÜBELLEHRER|lemma idGU00102.GU00102 | m.|gram idGU00102.GU00102 |
ÜBELMÄCHTIG|lemma idGU00103.GU00103 | adj.|gram idGU00103.GU00103 |
ÜBELMEINEND|lemma idGU00104.GU00104 | adj. u. adv.|gram idGU00104.GU00104 |
ÜBELMEINLICH|lemma idGU00105.GU00105 | adv.|gram idGU00105.GU00105 |
ÜBELMÖGEND|lemma idGU00106.GU00106 | adj.|gram idGU00106.GU00106 |
ÜBELMÖGENHEIT|lemma idGU00107.GU00107 | f.|gram idGU00107.GU00107 |
ÜBELMÖGIG|lemma idGU00108.GU00108 | adj.|gram idGU00108.GU00108 |
ÜBELMÜSZIG|lemma idGU00109.GU00109 | adj.|gram idGU00109.GU00109 |
ÜBELMÜTIG|lemma idGU00110.GU00110 | adj.|gram idGU00110.GU00110 |
