
V|lemma idGV00001.GV00001 |
VACH|lemma idGV00002.GV00002 |VAH|variant idGV00002.GV00002 | interj.|gram idGV00002.GV00002 |
VAG|lemma idGV00003.GV00003 | adj. adv.|gram idGV00003.GV00003 |
VAGABUND|lemma idGV00004.GV00004 | m.|gram idGV00004.GV00004 |
VAGANT|lemma idGV00005.GV00005 | m.|gram idGV00005.GV00005 |
VAGANTENHANDWERK|lemma idGV00006.GV00006 | n.|gram idGV00006.GV00006 |
VAGIEREN|lemma idGV00007.GV00007 | verb.|gram idGV00007.GV00007 |
VAGIEREN|lemma idGV00008.GV00008 | n.|gram idGV00008.GV00008 |
VAGIERER|lemma idGV00009.GV00009 | m.|gram idGV00009.GV00009 |
VALAND|lemma idGV00010.GV00010 |
VALENTDISTEL|lemma idGV00011.GV00011 | f.|gram idGV00011.GV00011 |
VALENTIN|lemma idGV00012.GV00012 |
VALENTINSFEST|lemma idGV00013.GV00013 | n.|gram idGV00013.GV00013 |
VALENTINSCHERZ|lemma idGV00014.GV00014 | m.|gram idGV00014.GV00014 |
VALENTINSTAG|lemma idGV00015.GV00015 | m.|gram idGV00015.GV00015 |
VALENTINSWAHL|lemma idGV00016.GV00016 | f.|gram idGV00016.GV00016 |
VALET|lemma idGV00017.GV00017 | n.|gram idGV00017.GV00017 |
VALETHYMNUS|lemma idGV00018.GV00018 | m.|gram idGV00018.GV00018 |
VALETMUSIK|lemma idGV00019.GV00019 | f.|gram idGV00019.GV00019 |
VALETPREDIGT|lemma idGV00020.GV00020 | f.|gram idGV00020.GV00020 |
VALETREDE|lemma idGV00021.GV00021 | f.|gram idGV00021.GV00021 |
VALETSCHMAUS|lemma idGV00022.GV00022 | m.|gram idGV00022.GV00022 |
VALETTRUNK|lemma idGV00023.GV00023 | m.|gram idGV00023.GV00023 |
VALETWUNSCH|lemma idGV00024.GV00024 | m.|gram idGV00024.GV00024 |
VAMPYR|lemma idGV00025.GV00025 |
VAMPYRRÜSSEL|lemma idGV00026.GV00026 | m.|gram idGV00026.GV00026 |
VASALL|lemma idGV00027.GV00027 | m.|gram idGV00027.GV00027 |
VASALLENKIND|lemma idGV00028.GV00028 | n.|gram idGV00028.GV00028 |
VASALLENPFLICHT|lemma idGV00029.GV00029 | f.|gram idGV00029.GV00029 |
VASALLENSCHAAR|lemma idGV00030.GV00030 | f.|gram idGV00030.GV00030 |
VASALLENSCHAFT|lemma idGV00031.GV00031 | f.|gram idGV00031.GV00031 |
VASALLENSTAAT|lemma idGV00032.GV00032 | m.|gram idGV00032.GV00032 |
VASALLENTHUM|lemma idGV00033.GV00033 | n.|gram idGV00033.GV00033 |
VASALLIN|lemma idGV00034.GV00034 | f.|gram idGV00034.GV00034 |
VASALLISCH|lemma idGV00035.GV00035 | adj. und adv.|gram idGV00035.GV00035 |
VASE|lemma idGV00036.GV00036 | f.|gram idGV00036.GV00036 |
VASENBAUCH|lemma idGV00037.GV00037 | m.|gram idGV00037.GV00037 |
VASENGEMÄLDE|lemma idGV00038.GV00038 | n.|gram idGV00038.GV00038 |
VASENMALEREI|lemma idGV00039.GV00039 | f.|gram idGV00039.GV00039 |
VATER|lemma idGV00040.GV00040 | m.|gram idGV00040.GV00040 |
VATERÄHNLICH|lemma idGV00041.GV00041 | adj.|gram idGV00041.GV00041 |
VATERAMT|lemma idGV00042.GV00042 | n.|gram idGV00042.GV00042 |
VATERANGESICHT|lemma idGV00043.GV00043 | n.|gram idGV00043.GV00043 |
VATERANGST|lemma idGV00044.GV00044 | f.|gram idGV00044.GV00044 |
VATERANSEHEN|lemma idGV00045.GV00045 | n.|gram idGV00045.GV00045 |
VATERAPFEL|lemma idGV00046.GV00046 | m.|gram idGV00046.GV00046 |
VATERARM|lemma idGV00047.GV00047 | m.|gram idGV00047.GV00047 |
VATERART|lemma idGV00048.GV00048 | f.|gram idGV00048.GV00048 |
VATERAUGE|lemma idGV00049.GV00049 | n.|gram idGV00049.GV00049 |
VATERBESCHWERUNG|lemma idGV00050.GV00050 | f.|gram idGV00050.GV00050 |
VATERBILD|lemma idGV00051.GV00051 | n.|gram idGV00051.GV00051 |
VATERBITTE|lemma idGV00052.GV00052 | f.|gram idGV00052.GV00052 |
VATERBLICK|lemma idGV00053.GV00053 | m.|gram idGV00053.GV00053 |
VATERBRUDER|lemma idGV00054.GV00054 | m.|gram idGV00054.GV00054 |
VATERBRUDERSKIND|lemma idGV00055.GV00055 | n.|gram idGV00055.GV00055 |
VATERBRUST|lemma idGV00056.GV00056 | f.|gram idGV00056.GV00056 |
VATERBURG|lemma idGV00057.GV00057 | f.|gram idGV00057.GV00057 |
VATERCHEN|lemma idGV00058.GV00058 |VÄTERCHEN|variant idGV00058.GV00058 | n.|gram idGV00058.GV00058 |
VATEREIFER|lemma idGV00059.GV00059 | m.|gram idGV00059.GV00059 |
VATEREMPFINDUNG|lemma idGV00060.GV00060 | f.|gram idGV00060.GV00060 |
VATERERBE|lemma idGV00061.GV00061 | n.|gram idGV00061.GV00061 |
VATERERDE|lemma idGV00062.GV00062 | f.|gram idGV00062.GV00062 |
VATERFÄHIG|lemma idGV00063.GV00063 | adj.|gram idGV00063.GV00063 |
VATERFAUST|lemma idGV00064.GV00064 | f.|gram idGV00064.GV00064 |
