
Z|lemma idGZ00001.GZ00001 |
ZAAR|lemma idGZ00002.GZ00002 |
ZABBLIG|lemma idGZ00003.GZ00003 | adj.|gram idGZ00003.GZ00003 |
ZABEL|lemma idGZ00004.GZ00004 | n.|gram idGZ00004.GZ00004 |
ZABELN|lemma idGZ00005.GZ00005 | verb.|gram idGZ00005.GZ00005 |
ZABELSPIEL|lemma idGZ00006.GZ00006 | n.|gram idGZ00006.GZ00006 |
ZABELWORT|lemma idGZ00007.GZ00007 | n.|gram idGZ00007.GZ00007 |
ZABLER|lemma idGZ00008.GZ00008 | m.|gram idGZ00008.GZ00008 |
ZACH|lemma idGZ00009.GZ00009 | adj.|gram idGZ00009.GZ00009 |
ZACHE|lemma idGZ00010.GZ00010 | m.|gram idGZ00010.GZ00010 |
ZACHHEIT|lemma idGZ00011.GZ00011 | f.|gram idGZ00011.GZ00011 |
ZACK|lemma idGZ00012.GZ00012 |
ZÄCK|lemma idGZ00013.GZ00013 |ZÄCKE|variant idGZ00013.GZ00013 | m.|gram idGZ00013.GZ00013 |
ZÄCKCHEN|lemma idGZ00014.GZ00014 | n.|gram idGZ00014.GZ00014 |
ZACKE|lemma idGZ00015.GZ00015 | m. f.|gram idGZ00015.GZ00015 |ZACKEN|variant idGZ00015.GZ00015 |
ZACKEISEN|lemma idGZ00016.GZ00016 | n.|gram idGZ00016.GZ00016 |
ZACKEL|lemma idGZ00017.GZ00017 | n.|gram idGZ00017.GZ00017 |
ZACKEL|lemma idGZ00018.GZ00018 | f.|gram idGZ00018.GZ00018 |
ZACKELN|lemma idGZ00019.GZ00019 | verb.|gram idGZ00019.GZ00019 |
ZACKELSCHAF|lemma idGZ00020.GZ00020 | f.|gram idGZ00020.GZ00020 |
ZACKEN|lemma idGZ00021.GZ00021 | m.|gram idGZ00021.GZ00021 |
ZACKEN|lemma idGZ00022.GZ00022 | verb.|gram idGZ00022.GZ00022 |
ZÄCKEN|lemma idGZ00023.GZ00023 |
ZACKENARTIG|lemma idGZ00024.GZ00024 | adj.|gram idGZ00024.GZ00024 |
ZACKENBAND|lemma idGZ00025.GZ00025 | n.|gram idGZ00025.GZ00025 |
ZACKENBINDE|lemma idGZ00026.GZ00026 | f.|gram idGZ00026.GZ00026 |
ZACKENBLATT|lemma idGZ00027.GZ00027 | n.|gram idGZ00027.GZ00027 |
ZACKENBLITZ|lemma idGZ00028.GZ00028 | m.|gram idGZ00028.GZ00028 |
ZACKENDRUSE|lemma idGZ00029.GZ00029 | f.|gram idGZ00029.GZ00029 |
ZACKENFELS|lemma idGZ00030.GZ00030 | m.|gram idGZ00030.GZ00030 |
ZACKENFIRST|lemma idGZ00031.GZ00031 | m. f.|gram idGZ00031.GZ00031 |
ZACKENFLAMME|lemma idGZ00032.GZ00032 | f.|gram idGZ00032.GZ00032 |
ZACKENFLECK|lemma idGZ00033.GZ00033 | m.|gram idGZ00033.GZ00033 |
ZACKENFLÜGEL|lemma idGZ00034.GZ00034 | m.|gram idGZ00034.GZ00034 |
ZACKENFÖRMIG|lemma idGZ00035.GZ00035 | adj.|gram idGZ00035.GZ00035 |
ZACKENGIEBEL|lemma idGZ00036.GZ00036 | m.|gram idGZ00036.GZ00036 |
ZACKENHAUPT|lemma idGZ00037.GZ00037 | n.|gram idGZ00037.GZ00037 |
ZACKENHIRSCH|lemma idGZ00038.GZ00038 | m.|gram idGZ00038.GZ00038 |
ZACKENHOLZ|lemma idGZ00039.GZ00039 | n.|gram idGZ00039.GZ00039 |
ZACKENHORN|lemma idGZ00040.GZ00040 | n.|gram idGZ00040.GZ00040 |
ZACKENKAMM|lemma idGZ00041.GZ00041 | m.|gram idGZ00041.GZ00041 |
ZACKENKRAGEN|lemma idGZ00042.GZ00042 | m.|gram idGZ00042.GZ00042 |
ZACKENKRANZ|lemma idGZ00043.GZ00043 | m.|gram idGZ00043.GZ00043 |
ZACKENKRAUT|lemma idGZ00044.GZ00044 | n.|gram idGZ00044.GZ00044 |
ZACKENKRONE|lemma idGZ00045.GZ00045 | f.|gram idGZ00045.GZ00045 |
ZACKENLINIE|lemma idGZ00046.GZ00046 | f.|gram idGZ00046.GZ00046 |
ZACKENLOS|lemma idGZ00047.GZ00047 | adj.|gram idGZ00047.GZ00047 |
ZACKENMAUER|lemma idGZ00048.GZ00048 | f.|gram idGZ00048.GZ00048 |
ZACKENMEER|lemma idGZ00049.GZ00049 | n.|gram idGZ00049.GZ00049 |
ZACKENREICH|lemma idGZ00050.GZ00050 | adj.|gram idGZ00050.GZ00050 |
ZACKENSCHLOSZ|lemma idGZ00051.GZ00051 | n.|gram idGZ00051.GZ00051 |
ZACKENSCHNECKE|lemma idGZ00052.GZ00052 | f.|gram idGZ00052.GZ00052 |
ZACKENSCHOTE|lemma idGZ00053.GZ00053 | f.|gram idGZ00053.GZ00053 |
ZACKENSCHWÄRMER|lemma idGZ00054.GZ00054 | m.|gram idGZ00054.GZ00054 |
ZACKENSPITZE|lemma idGZ00055.GZ00055 | f.|gram idGZ00055.GZ00055 |
ZACKENTANNE|lemma idGZ00056.GZ00056 | f.|gram idGZ00056.GZ00056 |
ZACKENWALZE|lemma idGZ00057.GZ00057 | f.|gram idGZ00057.GZ00057 |
ZACKENWERK|lemma idGZ00058.GZ00058 | n.|gram idGZ00058.GZ00058 |
ZACKENZAHN|lemma idGZ00059.GZ00059 | m.|gram idGZ00059.GZ00059 |
ZACKER|lemma idGZ00060.GZ00060 | m.|gram idGZ00060.GZ00060 |
ZACKER|lemma idGZ00061.GZ00061 |
ZACKERER|lemma idGZ00062.GZ00062 | m.|gram idGZ00062.GZ00062 |
ZACKERGAUL|lemma idGZ00063.GZ00063 | m.|gram idGZ00063.GZ00063 |
ZACKERLOT|lemma idGZ00064.GZ00064 |
ZACKERMANN|lemma idGZ00065.GZ00065 | m.|gram idGZ00065.GZ00065 |
ZACKERN|lemma idGZ00066.GZ00066 | verb.|gram idGZ00066.GZ00066 |
ZACKERN|lemma idGZ00067.GZ00067 | verb.|gram idGZ00067.GZ00067 |
ZACKERUNG|lemma idGZ00068.GZ00068 | f.|gram idGZ00068.GZ00068 |
ZACKICHT|lemma idGZ00069.GZ00069 |ZACKIG|variant idGZ00069.GZ00069 | adj. und adv.|gram idGZ00069.GZ00069 |
ZÄCKLEIN|lemma idGZ00070.GZ00070 | n.|gram idGZ00070.GZ00070 |
ZACKMOTTE|lemma idGZ00071.GZ00071 | f.|gram idGZ00071.GZ00071 |
ZACKUNG|lemma idGZ00072.GZ00072 | f.|gram idGZ00072.GZ00072 |
ZADDER|lemma idGZ00073.GZ00073 | subst.|gram idGZ00073.GZ00073 |
ZADE|lemma idGZ00074.GZ00074 | f.|gram idGZ00074.GZ00074 |
ZADEL|lemma idGZ00075.GZ00075 | m.|gram idGZ00075.GZ00075 |
ZADENFLEISCH|lemma idGZ00076.GZ00076 | n.|gram idGZ00076.GZ00076 |
ZAFEN|lemma idGZ00077.GZ00077 | verb.|gram idGZ00077.GZ00077 |
ZAFFRA|lemma idGZ00078.GZ00078 | f.|gram idGZ00078.GZ00078 |
ZAG|lemma idGZ00079.GZ00079 | adj.|gram idGZ00079.GZ00079 |
ZAG|lemma idGZ00080.GZ00080 | m.|gram idGZ00080.GZ00080 |
ZAGE|lemma idGZ00081.GZ00081 | f.|gram idGZ00081.GZ00081 |
ZAGEL|lemma idGZ00082.GZ00082 | m.|gram idGZ00082.GZ00082 |
ZAGELBEIN|lemma idGZ00083.GZ00083 | n.|gram idGZ00083.GZ00083 |
ZAGELDECKLEIN|lemma idGZ00084.GZ00084 | n.|gram idGZ00084.GZ00084 |
ZÄGELEIN|lemma idGZ00085.GZ00085 | n.|gram idGZ00085.GZ00085 |
ZAGELGEÄDER|lemma idGZ00086.GZ00086 | n.|gram idGZ00086.GZ00086 |
ZAGELHOLZ|lemma idGZ00087.GZ00087 | n.|gram idGZ00087.GZ00087 |
ZAGELMEISE|lemma idGZ00088.GZ00088 | f.|gram idGZ00088.GZ00088 |
ZAGELMÖNCH|lemma idGZ00089.GZ00089 | m.|gram idGZ00089.GZ00089 |
ZAGELN|lemma idGZ00090.GZ00090 | verb.|gram idGZ00090.GZ00090 |
ZAGELSTEIN|lemma idGZ00091.GZ00091 | m.|gram idGZ00091.GZ00091 |
ZAGELVIEH|lemma idGZ00092.GZ00092 | n.|gram idGZ00092.GZ00092 |
ZAGELWINTER|lemma idGZ00093.GZ00093 | m.|gram idGZ00093.GZ00093 |
ZAGELWUNDE|lemma idGZ00094.GZ00094 | f.;|gram idGZ00094.GZ00094 |
ZAGELWURM|lemma idGZ00095.GZ00095 | m.|gram idGZ00095.GZ00095 |
ZAGEMUT|lemma idGZ00096.GZ00096 | f.|gram idGZ00096.GZ00096 |
ZAGEN|lemma idGZ00097.GZ00097 | verb.|gram idGZ00097.GZ00097 |
ZAGER|lemma idGZ00098.GZ00098 | m.|gram idGZ00098.GZ00098 |
ZAGEREI|lemma idGZ00099.GZ00099 | f.|gram idGZ00099.GZ00099 |
ZAGEWURM|lemma idGZ00100.GZ00100 | m.|gram idGZ00100.GZ00100 |
ZAGHAFT|lemma idGZ00101.GZ00101 | adj. und adv.|gram idGZ00101.GZ00101 |
ZAGHAFTIG|lemma idGZ00102.GZ00102 | adj.|gram idGZ00102.GZ00102 |
ZAGHAFTIGKEIT|lemma idGZ00103.GZ00103 | f.|gram idGZ00103.GZ00103 |
ZAGHAFTIGLICH|lemma idGZ00104.GZ00104 | adv.|gram idGZ00104.GZ00104 |
ZAGHALS|lemma idGZ00105.GZ00105 | m.|gram idGZ00105.GZ00105 |
ZAGHEIT|lemma idGZ00106.GZ00106 | f.|gram idGZ00106.GZ00106 |
ZAGIG|lemma idGZ00107.GZ00107 | adj.|gram idGZ00107.GZ00107 |
ZAGLICH|lemma idGZ00108.GZ00108 |ZÄGLICH|variant idGZ00108.GZ00108 | adj. u. adv.|gram idGZ00108.GZ00108 |
ZAGLOHN|lemma idGZ00109.GZ00109 | n.|gram idGZ00109.GZ00109 |
ZAGLOS|lemma idGZ00110.GZ00110 | adj. und adv.|gram idGZ00110.GZ00110 |
ZAGMETZE|lemma idGZ00111.GZ00111 | f.|gram idGZ00111.GZ00111 |
ZAGMÜTIG|lemma idGZ00112.GZ00112 | adj. und adv.|gram idGZ00112.GZ00112 |
ZAGNIS|lemma idGZ00113.GZ00113 | f.|gram idGZ00113.GZ00113 |
ZAGREDE|lemma idGZ00114.GZ00114 | f.|gram idGZ00114.GZ00114 |
ZAGUNG|lemma idGZ00115.GZ00115 | f.|gram idGZ00115.GZ00115 |
ZÄHE|lemma idGZ00116.GZ00116 |ZÄH|variant idGZ00116.GZ00116 | adj. und adv.|gram idGZ00116.GZ00116 |
ZÄHE|lemma idGZ00117.GZ00117 | f.|gram idGZ00117.GZ00117 |
ZÄHEISEN|lemma idGZ00118.GZ00118 | n.|gram idGZ00118.GZ00118 |
ZÄHER|lemma idGZ00119.GZ00119 | m.|gram idGZ00119.GZ00119 |
ZÄHFLÜSSIG|lemma idGZ00120.GZ00120 | adj.|gram idGZ00120.GZ00120 |
ZÄHGEBE|lemma idGZ00121.GZ00121 | adj.|gram idGZ00121.GZ00121 |
